id,name,service_name_vi,category,category_vi,finish_type,extension_type,nail_length,nail_shape,art_level,description,add_ons,duration_min,price,price_tier,maintenance_weeks,refill_eligible,removal_needed,soak_off_time_min,notes_en,notes_vi,seasonality_tags,trend_tags,inventory_items_used,selected
011.jpg,Long Stiletto Chrome/Pearl Set,Làm Móng Bột Dáng Nhọn Dài (Tráng Gương / Ngọc Trai),Full Set,Làm bộ móng mới,Pearl / Chrome,Acrylic/Gel-X,Long,Stiletto,Simple,Nude or light pink base with a yellow/gold/white pearl or chrome powder effect.,Chrome Powder,135,95,High,2-3,Yes,Yes,25,This popular 'glazed donut' or 'unicorn' effect is achieved with a special powder over a no-wipe top coat.,Hiệu ứng 'bánh donut tráng đường' hay 'unicorn' nổi tiếng này đạt được bằng cách chà một loại bột đặc biệt lên lớp top coat không cần lau.,"All-Season, Bridal, Spring","Chrome Nails, Pearl Nails, Glazed Donut, Hailey Bieber Nails","Nude Gel Polish, Clear Acrylic/Gel-X, White/Gold Chrome Powder, Glossy Top Coat",1
012.jpg,Neon Micro-French Manicure,Sơn Gel Kiểu Pháp Mỏng (Viền Neon),Manicure / Gel-X,Làm móng tay / Móng Gel-X,Glossy,Gel-X / Builder Gel,Medium,Coffin,Moderate,"Nude pink base with thin 'micro' French tips in various neon colors (pink, yellow, green, orange). Small rhinestone at cuticle.","Micro-French Art, Rhinestones (Simple)",90,75,Mid-High,2-3,Yes (with rebalance),Yes,20,"Requires a very steady hand for the thin lines. Could be on natural nails, builder gel, or Gel-X.","Yêu cầu tay nghề vững để vẽ các đường mỏng. Có thể làm trên móng tự nhiên, builder gel, hoặc Gel-X.","Summer, Spring, Party","Micro-French, Neon, Minimalist Art, Skittles","Nude Pink Gel Polish, Neon Gel Polish (Pink, Yellow, Green, Orange), Liner Brush, Small Rhinestones, Glossy Top Coat",1
013.jpg,Neon V-French Full Set,Làm Móng Bột Dáng Chữ V Neon,Full Set,Làm bộ móng mới,Glossy,Acrylic,Long,Coffin,Complex,Nude pink base with a deep 'V-French' design in neon pink and neon yellow. Encapsulated glitter on the nail bed.,"V-French Art, Encapsulated Glitter",150,120,High,2-3,Yes (but complex),Yes,30,"This is a sculpted set, likely done with acrylic. The sharp V-lines and encapsulation take significant time.","Đây là một bộ móng đắp, có thể làm bằng bột. Các đường V-line sắc nét và kỹ thuật ẩn tốn nhiều thời gian.","Summer, Festival, Vacation","Neon, V-French, Deep French, Encapsulated Glitter, Coffin Nails","Nude Pink Acrylic, Clear Acrylic, Monomer, Nail Forms, Neon Pink Gel Polish, Neon Yellow Gel Polish, Iridescent Glitter, Glossy Top Coat",1
014.jpg,Skittles Gel Pedicure,Làm Móng Chân Sơn Gel (Nhiều Màu),Pedicure,Làm móng chân,Glossy,None,Short,Square,Simple,"Solid colors on each toe, repeated in a pattern (red, blue, yellow, green, purple).",Multi-Color (5+),60,60,Mid,4-6,No,Yes,15,"Fun, simple art. Charge slightly more than solid color for the extra colors used.","Nghệ thuật đơn giản, vui nhộn. Tính giá cao hơn một chút so với sơn trơn vì sử dụng nhiều màu.","Summer, Spring, Pride","Skittles Nails, Rainbow Pedicure","Gel Polish (Red, Blue, Yellow, Green, Purple), Pedi Base Coat, Pedi Top Coat",1
015.jpg,Abstract Swirl Art Manicure,Sơn Gel Nghệ Thuật Trừu Tượng (Vân Xoáy),Manicure / Gel-X,Làm móng tay / Móng Gel-X,Glossy,Gel-X / Builder Gel,Long,Almond,Moderate,"Sheer nude base with abstract swirls and color blocking in orange, lilac, dark purple, and white.",Hand-painted Nail Art,105,85,Mid-High,2-3,Yes (with rebalance),Yes,20,Very trendy negative space design. Requires good line work.,Thiết kế không gian âm (negative space) rất hợp thời trang. Yêu cầu kỹ năng vẽ đường nét tốt.,"Spring, Summer, Fall","Swirl Nails, Abstract Nails, Negative Space, 70s Vibe","Sheer Nude Gel Polish, Orange Gel Polish, Lilac Gel Polish, Dark Purple Gel Polish, White Art Gel, Liner Brush, Glossy Top Coat",1
016.jpg,Pastel Skittles Pedicure with Glitter,Làm Móng Chân Sơn Gel (Pastel & Kim Tuyến),Pedicure,Làm móng chân,Glossy / Glitter,None,Short,Square,Simple,"Solid pastel colors on each toe (pink, purple, green, blue) with glitter accent on big and small toes.","Multi-Color (5+), Glitter Gel",75,65,Mid,4-6,No,Yes,15,"Cute, spring/summer design. Popular 'Skittles' style.",Thiết kế dễ thương cho mùa xuân/hè. Kiểu 'Skittles' phổ biến.,"Spring, Summer, Easter","Skittles Nails, Pastel Nails, Glitter Pedicure","Pastel Gel Polish (Pink, Purple, Green, Blue), Silver/Opal Glitter Gel, Pedi Base Coat, Pedi Top Coat",1
018.jpg,XL French Set with Sugar Glitter,Làm Móng Bột Kiểu Pháp Dài (Kim Tuyến Rắc),Full Set,Làm bộ móng mới,Glossy / Textured,Acrylic,XL,Coffin,Moderate,"Classic pink-and-white French tip, but the white tip is made with a textured 'sugar' glitter.","Sugar Glitter, Extra Length",165,130,High,2-3,Yes,Yes,30,The sugar glitter is applied over gel and cured without a top coat to maintain its texture.,Kim tuyến rắc (sugar glitter) được rắc lên gel và hơ đèn mà không sơn top coat để giữ nguyên độ nhám.,"Bridal, Winter, Formal, New Year's","Sugar Glitter, Textured Nails, French Tip, XL Nails","Nude Pink Acrylic, Clear Acrylic, Monomer, Nail Forms, White Gel Polish, White/Clear Glitter (for sugar effect), Glossy Top Coat (for nail bed only)",1
019.jpg,Cat Eye Manicure with Swirl Art,Sơn Gel Mắt Mèo (Vẽ Vân Xoáy),Manicure,Làm móng tay,Cat Eye / Glossy,None,Short,Square,Complex,"Royal blue 'cat eye' effect on most nails. Two accent nails with nude base, blue/gold abstract swirls, and rhinestones.","Cat Eye Gel, Hand-painted Nail Art, Rhinestones",90,80,Mid-High,2-3,No,Yes,15,Multiple art techniques used on short nails. Cat eye requires a magnet.,Sử dụng nhiều kỹ thuật nghệ thuật trên móng ngắn. Gel mắt mèo cần có nam châm.,"Winter, Fall, Formal","Cat Eye Nails, Swirl Nails, Royal Blue","Blue Cat Eye Gel Polish, Magnet, Nude Gel Polish, Gold Art Gel, Blue Art Gel, Liner Brush, Rhinestones, Glossy Top Coat",1
020.jpg,Flag-Inspired French Tip,Sơn Gel Kiểu Pháp (Cảm Hứng Cờ),Manicure / Full Set,Làm móng tay / Làm bộ móng mới,Glossy,Acrylic / Gel-X,Short,Square,Moderate,"Nude pink base with diagonal stripes of green, white, and red on the tip (like Italian or Mexican flag). Small gold foil accents.","Hand-painted Nail Art, Gold Foil",90,70,Mid-High,2-3,Yes,Yes,20,Holiday-specific design. Requires precise line work.,Thiết kế đặc trưng cho ngày lễ. Yêu cầu vẽ đường nét chính xác.,"Holiday (Cinco de Mayo, Italian holidays), Soccer/World Cup","Flag Nails, Line Art, Color Block","Nude Pink Gel Polish, Green Gel Polish, White Art Gel, Red Gel Polish, Gold Foil, Liner Brush, Glossy Top Coat",1
021.jpg,Deep V-French with Heart Tips,Sơn Gel Kiểu Pháp Chữ V Sâu (Đầu Móng Hình Tim),Manicure / Gel-X,Làm móng tay / Móng Gel-X,Glossy,None / Builder Gel,Medium,Almond / Oval,Moderate,Sheer pink/lilac base with deep hot pink V-French tips that subtly form a heart shape at the cuticle.,"V-French Art, Custom Tip Shape",90,75,Mid-High,2-3,No,Yes,20,"Creative take on French manicure, suitable for natural nails or short extensions.","Biến tấu sáng tạo của kiểu móng Pháp, phù hợp cho móng tự nhiên hoặc nối ngắn.","Valentine's Day, Spring, Romantic","V-French, Heart Nails, Pink Nails","Sheer Pink Gel Polish, Hot Pink Gel Polish, Fine Liner Brush, Base Coat, Top Coat",1
022.jpg,Long Coffin Set with Glitter Accents,Làm Móng Bột Dáng Hòm Dài (Điểm Nhấn Kim Tuyến),Full Set,Làm bộ móng mới,Glossy / Glitter,Acrylic,Long,Coffin,Simple,"Solid sky blue color on most nails, with two accent nails in silver holographic glitter.",Glitter Accent Nails,135,95,High,2-3,Yes,Yes,25,Popular combination of solid color and glitter accent. Client has arm tattoos and rings.,Sự kết hợp phổ biến giữa màu trơn và điểm nhấn kim tuyến. Khách hàng có hình xăm ở tay và đeo nhẫn.,"Summer, Winter (Ice Blue), Party","Glitter Nails, Coffin Nails, Blue Nails","Sky Blue Acrylic Powder, Silver Holographic Glitter Acrylic/Gel, Clear Acrylic, Monomer, Nail Forms, Glossy Top Coat",1
023.jpg,XL Coffin Set with Flowers & Rhinestones,Làm Móng Bột Dáng Hòm Dài (Hoa & Đá),Full Set,Làm bộ móng mới,Glossy,Acrylic,XL,Coffin,Complex,Hot pink base with white diagonal tips. Accent nails feature small white flowers and various rhinestones.,"Diagonal French, Flower Decals/Hand-painted, Rhinestones",165,130,High,2-3,Yes,Yes,30,Intricate design with multiple elements. Ensure proper adhesion for flowers and rhinestones.,Thiết kế phức tạp với nhiều yếu tố. Đảm bảo hoa và đá được gắn chắc chắn.,"Spring, Summer, Bridal (Bridesmaid), Formal","Flower Nails, Bling Nails, Pink Nails, Coffin Nails","Hot Pink Acrylic Powder, White Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, Small White Flower Decals/3D Flowers, Various Rhinestones, Nail Glue, Glossy Top Coat",1
024.jpg,French Ombré with 3D Flowers & Pearls,Làm Móng Ombré Kiểu Pháp (Hoa 3D & Hạt Ngọc),Full Set,Làm bộ móng mới,Glossy,Acrylic,Medium,Almond / Stiletto,Complex,"Classic pink and white ombré (French fade) with 3D white flowers, small pearls, and gold bead accents at the cuticle.","French Ombré, 3D Flowers, Pearls, Gold Beads",150,120,High,2-3,Yes,Yes,30,Very elegant and popular bridal/formal design. 3D elements require careful application.,Thiết kế cô dâu/dự tiệc rất thanh lịch và phổ biến. Các yếu tố 3D yêu cầu kỹ năng gắn tỉ mỉ.,"Bridal, Wedding, Spring, Formal","French Ombré, 3D Flowers, Pearl Nails, Wedding Nails","Nude Pink Acrylic Powder, White Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, 3D White Flowers, Small Pearls, Gold Beads, Nail Glue, Glossy Top Coat",0
025.jpg,XL Christmas Ombré with Snowflakes,Làm Móng Ombré Giáng Sinh Dài (Bông Tuyết),Full Set,Làm bộ móng mới,Glossy / Glitter,Acrylic,XL,Coffin,Complex,Pink and white ombré with encapsulated silver glitter. Features hand-painted white snowflakes and white/silver candy cane stripes.,"Ombré, Encapsulated Glitter, Hand-painted Snowflakes, Candy Cane Stripes",180,150,Premium,2-3,Yes,Yes,30,Highly detailed holiday set. Snowflakes and stripes require fine line work.,Bộ móng lễ hội rất chi tiết. Bông tuyết và sọc yêu cầu kỹ năng vẽ đường nét tinh xảo.,"Christmas, Winter, Holiday","Christmas Nails, Snowflake Nails, Ombré, XL Nails, Candy Cane","Pink Acrylic Powder, White Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, Silver Glitter, White Art Gel, Silver Art Gel, Liner Brush, Glossy Top Coat",0
026.jpg,Classic French Ombré Manicure with Flower,Sơn Gel Ombré Kiểu Pháp Cổ Điển (Có Hoa),Manicure / Gel-X,Làm móng tay / Móng Gel-X,Glossy,None / Builder Gel,Short / Medium,Almond / Oval,Moderate,Soft pink and white ombré. One accent nail with a small white hand-painted flower and gold beads.,"French Ombré, Hand-painted Flower, Gold Beads",105,85,Mid-High,2-3,Yes (with rebalance),Yes,20,"Elegant and timeless design, suitable for natural nails or short enhancements.","Thiết kế thanh lịch và vượt thời gian, phù hợp cho móng tự nhiên hoặc móng đắp ngắn.","Bridal, Spring, Everyday Elegant","French Ombré, Minimalist Flower, Wedding Nails","Nude Pink Gel Polish, White Gel Polish, Ombré Brush, White Art Gel, Fine Liner Brush, Gold Beads, Base Coat, Top Coat",1
027.jpg,XL Green Christmas Set with Glitter,Làm Móng Giáng Sinh Xanh Dài (Kim Tuyến),Full Set,Làm bộ móng mới,Glossy / Glitter,Acrylic,XL,Coffin,Complex,"Vibrant green base with white snowflakes, white candy cane stripes, and chunky green glitter accents. Some nails are entirely glitter.","Hand-painted Snowflakes, Candy Cane Stripes, Chunky Glitter",180,150,Premium,2-3,Yes,Yes,30,Bold and festive holiday design. Glitter encapsulation adds to complexity.,Thiết kế lễ hội táo bạo và rực rỡ. Kỹ thuật ẩn kim tuyến làm tăng độ phức tạp.,"Christmas, Winter, Holiday","Christmas Nails, Snowflake Nails, Glitter Nails, Green Nails","Emerald Green Acrylic Powder, White Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, White Art Gel, Green Chunky Glitter, Liner Brush, Glossy Top Coat",0
028.jpg,Monarch Butterfly Art Full Set,Làm Móng Nghệ Thuật Bướm Monarch,Full Set,Làm bộ móng mới,Glossy,Acrylic / Gel-X,Medium,Almond / Stiletto,Extreme,"Each nail individually painted to resemble monarch butterfly wings (black outline, orange fill, white dots).",Hand-painted Detailed Art,210,180,Premium,2-3,Yes (with rebalance),Yes,25,"Highly skilled, detailed art. This will be a showstopper piece.","Nghệ thuật rất có kỹ năng, chi tiết. Đây sẽ là một tác phẩm gây ấn tượng.","Summer, Spring, Festival","Butterfly Nails, Detailed Art, Hand-painted","Clear Acrylic/Gel-X, Nude Gel Polish (base), Black Art Gel, Orange Gel Polish, White Art Gel, Fine Detail Brush, Glossy Top Coat",0
029.jpg,Long Square French with 3D Charms,Làm Móng Vuông Dài Kiểu Pháp (Đính Charm 3D),Full Set,Làm bộ móng mới,Glossy,Acrylic,Long,Square,Complex,"Classic pink and white French tips with multiple 3D silver heart charms, rhinestones, and delicate white swirls.","3D Charms, Rhinestones, Hand-painted Swirls",180,150,Premium,2-3,Yes,Yes,30,"Romantic, luxurious set. Requires strong adhesion for charms.","Bộ móng lãng mạn, sang trọng. Yêu cầu keo dán charm chắc chắn.","Valentine's Day, Bridal, Formal","French Tip, 3D Charms, Bling Nails, Love Nails","Nude Pink Acrylic Powder, White Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, Silver Heart Charms, Various Rhinestones, White Art Gel, Nail Glue, Glossy Top Coat",0
030.jpg,XL French Set with 3D Flowers & Gems,Làm Móng Kiểu Pháp Dài (Hoa 3D & Đá Quý),Full Set,Làm bộ móng mới,Glossy,Acrylic,XL,Coffin,Extreme,"Classic white French tips on a clear/nude base. Features intricate 3D white flowers and large, iridescent AB rhinestones/gems.","3D Flowers, Large Rhinestones/Gems, Extra Length",195,170,Premium,2-3,Yes,Yes,30,"Show-stopping design, very popular for special occasions. Requires significant time and materials.","Thiết kế gây ấn tượng mạnh, rất phổ biến cho các dịp đặc biệt. Yêu cầu nhiều thời gian và vật liệu.","Bridal, Wedding, Prom, Formal, Summer","3D Flowers, Bling Nails, French Tip, XL Nails","Clear/Nude Acrylic Powder, White Acrylic Powder, Monomer, Nail Forms, 3D White Flowers, Large Iridescent Rhinestones/Gems, Nail Glue, Glossy Top Coat",0
031.jpg,Classic French Pedicure with Spa Treatment,Làm Móng Chân Kiểu Pháp Cổ Điển (Kèm Dịch Vụ Spa),Pedicure,Làm móng chân,Glossy,None,Short,Square,Simple,White French tips on natural toenails. Image shows 'Bubble Spa' products (Honey Flower & Lavender).,"French Tip Art, Deluxe Pedicure (Bubble Spa)",75,70,Mid-High,4-6,No,Yes,15,"Standard French pedicure, elevated with premium spa products. Good for upselling.","Làm móng chân kiểu Pháp tiêu chuẩn, được nâng cấp với các sản phẩm spa cao cấp. Tốt để bán thêm dịch vụ.","All-Season, Bridal, Self-Care","French Pedicure, Spa Treatment","White Gel Polish, Nude Pink Gel Polish (base), Pedi Base Coat, Pedi Top Coat, Bubble Spa Salt (Honey Flower, Lavender), Pedicure Kit",0
032.jpg,Stiletto Gel-X with Abstract Swirls,Nối Móng Gel-X Dáng Nhọn (Vân Xoáy Trừu Tượng),Full Set (Gel-X),Làm bộ móng mới (Gel-X),Glossy,Gel-X,Medium,Stiletto,Moderate,"Bright red solid color on some nails, with accent nails featuring nude base and abstract white/red swirls.",Hand-painted Swirl Art,120,90,High,2-3,No,Yes (soak off),20,Modern and edgy design on Gel-X extensions. Swirls require a fine liner brush.,Thiết kế hiện đại và cá tính trên móng nối Gel-X. Vân xoáy yêu cầu cọ nét mảnh.,"Summer, Party, Valentine's Day","Swirl Nails, Abstract Nails, Red Nails, Gel-X","Gel-X Tips (Stiletto), Gel-X Adhesive, Bright Red Gel Polish, Nude Gel Polish, White Art Gel, Liner Brush, Top Coat",0
033.jpg,Short Almond Glitter French Set,Làm Móng Bột Dáng Hạnh Nhân Ngắn (Đầu Móng Kim Tuyến),Full Set,Làm bộ móng mới,Glossy / Glitter,Acrylic,Short,Almond,Simple,Nude pink base with silver glitter French tips. One accent nail features small gold butterfly charms and rhinestones.,"Glitter French Tip, Butterfly Charms, Rhinestones",105,80,Mid-High,2-3,Yes,Yes,25,"Subtle yet sparkly, a good option for clients who want French with a twist on shorter nails.","Tinh tế nhưng lấp lánh, một lựa chọn tốt cho khách hàng muốn kiểu Pháp cách điệu trên móng ngắn hơn.","All-Season, Spring, Bridal","Glitter French, Short Nails, Butterfly Nails","Nude Pink Acrylic Powder, Silver Glitter Acrylic/Gel, Clear Acrylic, Monomer, Nail Forms, Gold Butterfly Charms, Small Rhinestones, Nail Glue, Glossy Top Coat",0
034.jpg,Long Ombré with White French Tips,Làm Móng Ombré Dài (Đầu Móng Pháp Trắng),Full Set,Làm bộ móng mới,Glossy,Acrylic,Long,Coffin / Square,Moderate,"Ombré transition from nude pink to orange, topped with sharp white French tips.","Ombré, French Tip Art",150,110,High,2-3,Yes (complex),Yes,30,Combines two popular techniques: ombré and French. Requires skill for smooth blend and crisp lines.,Kết hợp hai kỹ thuật phổ biến: ombré và Pháp. Yêu cầu kỹ năng pha màu mịn và đường nét sắc sảo.,"Summer, Spring, Fall","Ombré Nails, French Tip, Coffin Nails, Orange Nails","Nude Pink Acrylic Powder, Orange Acrylic Powder, White Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, Ombré Brush, Glossy Top Coat",0
035.jpg,XL Coffin Set with Purple Glitter & 3D Butterflies,Làm Móng Bột Dáng Hòm Dài (Kim Tuyến Tím & Bướm 3D),Full Set,Làm bộ móng mới,Glossy / Glitter,Acrylic,XL,Coffin,Complex,"Sheer purple ombré/fade with encapsulated purple glitter. Features 3D butterfly charms, small flowers, and rhinestones.","Ombré, Encapsulated Glitter, 3D Butterfly Charms, 3D Flowers, Rhinestones",195,160,Premium,2-3,Yes (complex),Yes,30,"Very elaborate and glamorous set, popular for festivals or special events. Requires extensive time and material.","Bộ móng rất công phu và quyến rũ, phổ biến cho lễ hội hoặc sự kiện đặc biệt. Yêu cầu nhiều thời gian và vật liệu.","Spring, Summer, Festival, Prom","Purple Nails, Glitter Nails, Butterfly Nails, 3D Art, XL Nails, Coffin Nails","Sheer Purple Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, Purple Fine Glitter, 3D Butterfly Charms, Small 3D Flowers, Various Rhinestones, Nail Glue, Glossy Top Coat",0
036.jpg,Pink & White Ombré Square Set,Làm Móng Ombré Hồng Trắng Dáng Vuông,Full Set,Làm bộ móng mới,Glossy,Acrylic,Medium,Square,None,Classic pink and white ombré (French fade).,Ombré,105,85,High,2-3,Yes,Yes,25,"Timeless and elegant, a very popular and versatile ombré style. Price reflects length and acrylic application.","Vượt thời gian và thanh lịch, một kiểu ombré rất phổ biến và đa năng. Giá phản ánh chiều dài và việc đắp bột.","All-Season, Bridal, Everyday Elegant","Pink & White Ombré, French Fade, Square Nails","Nude Pink Acrylic Powder, White Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, Ombré Brush, Glossy Top Coat",0
037.jpg,XL Coffin Bling Set with Pink & Clear Gems,Làm Móng Bột Dáng Hòm Dài (Đính Đá Hồng & Trong Suốt),Full Set,Làm bộ móng mới,Glossy / Bling,Acrylic,XL,Coffin,Extreme,"Nude pink base with extensive full-coverage rhinestone application using large, iridescent pink and clear gems. Some nails have smaller scattered rhinestones.","Full Bling Nails, Large Rhinestones, Extra Length",240,200,Premium,2-3,Yes (complex),Yes,30,Maximalist 'Bling' design. Very time and material intensive. Price should reflect this.,Thiết kế 'Bling' tối đa. Rất tốn thời gian và vật liệu. Giá nên phản ánh điều này.,"Party, Festival, Prom, New Year's, Special Occasion","Bling Nails, Rhinestone Nails, XL Nails, Coffin Nails, Pink Nails","Nude Pink Acrylic Powder, Clear Acrylic, Monomer, Nail Forms, Various Large Iridescent Pink/Clear Rhinestones, Nail Glue, Glossy Top Coat",0
